id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,liveness,loudness_norm,mode,popularity,release_decade,mood_tags,context,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.06,0.12,0.72,1,75,2020,"uplifting,bright",party,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.65,0.04,0.08,0.38,0,45,2020,"focused,calm",study,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.04,0.08,0.18,0.85,0,62,2010,"aggressive,empowering",workout,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.72,0.03,0.06,0.30,1,38,2020,"peaceful,focused",study,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.12,0.14,0.88,1,80,2020,"empowering,energetic",workout,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.91,0.03,0.05,0.22,1,30,2020,"dreamy,contemplative",focus,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.45,0.05,0.25,0.35,1,42,2010,"nostalgic,warm",commute,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.78,0.04,0.08,0.68,0,55,2020,"nostalgic,cinematic",commute,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.80,0.03,0.07,0.35,1,48,2020,"calm,productive",study,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.02,0.07,0.15,0.68,1,65,2010,"bright,hopeful",party,0
11,Concrete Canvas,Urban Relay,hip-hop,confident,0.78,95,0.62,0.85,0.08,0.05,0.38,0.11,0.74,0,72,2010,"bold,assertive",commute,1
12,Velvet Hours,Sienna Cole,r&b,romantic,0.55,85,0.74,0.72,0.45,0.03,0.07,0.10,0.50,1,58,2020,"sensual,intimate",chill,0
13,Morning Sonata,The Arco Ensemble,classical,peaceful,0.22,68,0.70,0.25,0.98,0.97,0.03,0.22,0.18,1,35,2000,"serene,meditative",study,0
14,Iron Collapse,Fracture Line,metal,angry,0.97,168,0.20,0.55,0.03,0.06,0.14,0.20,0.96,0,60,2010,"aggressive,cathartic",workout,1
15,Gravel Road Home,Dusty Creek,country,nostalgic,0.48,96,0.65,0.58,0.82,0.08,0.06,0.20,0.44,1,50,2000,"nostalgic,longing",commute,0
16,Sunday Shore,Coral Wave,reggae,uplifting,0.61,82,0.88,0.80,0.55,0.12,0.10,0.28,0.56,1,55,2010,"relaxed,joyful",chill,0
17,Empty Glass Blues,Ray Holloway,blues,sad,0.38,72,0.28,0.45,0.75,0.15,0.08,0.35,0.32,0,40,2000,"melancholic,longing",chill,0
18,Voltage Drop,Circuit Haze,edm,euphoric,0.95,142,0.79,0.94,0.02,0.88,0.05,0.09,0.91,1,78,2020,"euphoric,energetic",party,0
19,Lantern Drift,Wren & Hollow,folk,dreamy,0.30,84,0.67,0.44,0.91,0.35,0.05,0.18,0.26,1,35,2010,"nostalgic,wistful",study,0
20,Slow Burn Sunday,Mara Faye,soul,romantic,0.52,78,0.76,0.66,0.68,0.04,0.08,0.22,0.48,1,52,2010,"intimate,soulful",chill,0
